iter	Passed	Remaining
167	2718	13464
168	2728	13417
169	2740	13380
170	2754	13352
171	2764	13308
172	2776	13272
173	2789	13243
174	2801	13204
175	2810	13160
176	2823	13127
177	2836	13097
178	2849	13071
179	2859	13026
180	2872	12996
181	2882	12957
182	2893	12916
183	2904	12882
184	2919	12860
185	2930	12823
186	2945	12804
187	2961	12789
188	2977	12776
189	2995	12771
190	3019	12789
191	3036	12779
192	3051	12761
193	3066	12739
194	3075	12697
195	3089	12671
196	3100	12639
197	3112	12606
198	3122	12568
199	3134	12537
200	3145	12503
201	3155	12464
202	3167	12434
203	3179	12404
204	3189	12370
205	3200	12336
206	3212	12306
207	3223	12272
208	3233	12239
209	3245	12208
210	3256	12175
211	3268	12147
212	3278	12112
213	3288	12078
214	3299	12048
215	3310	12014
216	3322	11989
217	3334	11961
218	3350	11947
219	3377	11973
220	3388	11944
221	3415	11970
222	3435	11971
223	3450	11954
224	3468	11945
225	3481	11921
226	3493	11895
227	3503	11861
228	3517	11841
229	3530	11817
230	3541	11789
231	3551	11757
232	3563	11731
233	3575	11704
234	3587	11679
235	3598	11650
236	3610	11624
237	3622	11597
238	3633	11568
239	3644	11540
240	3657	11518
241	3667	11488
242	3683	11474
243	3696	11451
244	3709	11432
245	3722	11408
246	3732	11377
247	3743	11352
248	3755	11325
249	3765	11297
250	3779	11276
251	3790	11250
252	3801	11223
253	3812	11196
254	3824	11172
255	3835	11147
256	3847	11122
257	3858	11096
258	3870	11072
259	3884	11057
260	3899	11041
261	3912	11020
262	3940	11043
263	3981	11100
264	4005	11108
265	4024	11104
266	4044	11103
267	4058	11086
268	4072	11066
269	4085	11047
270	4099	11027
271	4111	11004
272	4124	10982
273	4138	10966
274	4151	10944
275	4161	10915
276	4173	10893
277	4186	10873
278	4198	10849
279	4207	10820
280	4219	10796
281	4230	10772
282	4241	10746
283	4253	10723
284	4265	10701
285	4276	10675
286	4286	10648
287	4297	10623
288	4307	10596
289	4317	10570
290	4329	10548
291	4339	10522
292	4350	10498
293	4360	10471
294	4371	10448
295	4385	10429
296	4395	10403
297	4408	10384
298	4421	10364
299	4431	10341
300	4441	10313
301	4453	10294
302	4467	10276
303	4481	10260
304	4499	10251
305	4515	10241
306	4526	10217
307	4540	10200
308	4554	10185
309	4570	10172
310	4586	10160
311	4601	10147
312	4617	10134
313	4632	10121
314	4645	10101
315	4656	10079
316	4667	10057
317	4680	10037
318	4692	10016
319	4703	9995
320	4715	9974
321	4726	9952
322	4738	9931
323	4750	9910
324	4761	9888
325	4774	9870
326	4785	9848
327	4797	9828
328	4808	9807
329	4818	9783
330	4832	9766
331	4847	9752
332	4863	9742
333	4877	9725
334	4900	9727
335	4924	9732
336	4952	9743
337	4975	9745
338	4992	9734
339	5014	9733
340	5027	9715
341	5040	9698
342	5050	9674
343	5063	9655
344	5075	9635
345	5087	9615
346	5098	9593
347	5111	9576
348	5125	9560
349	5137	9541
350	5148	9518
351	5160	9500
352	5172	9480
353	5182	9457
354	5194	9437
355	5206	9417
356	5215	9394
357	5228	9375
358	5239	9355
359	5249	9332
360	5262	9314
361	5273	9294
362	5285	9275
363	5296	9254
364	5311	9239
365	5323	9221
366	5335	9201
367	5345	9180
368	5357	9162
369	5369	9142
370	5379	9120
371	5391	9102
372	5402	9082
373	5412	9059
374	5424	9040
375	5436	9022
376	5445	8999
377	5462	8988
378	5478	8976
379	5493	8963
380	5515	8961
381	5536	8956
382	5555	8949
383	5570	8935
384	5586	8924
385	5603	8913
386	5617	8898
387	5627	8876
388	5640	8859
389	5652	8841
390	5665	8824
391	5675	8802
392	5687	8783
393	5698	8764
394	5708	8742
395	5722	8728
396	5733	8709
397	5746	8692
398	5756	8670
399	5767	8651
400	5778	8632
401	5789	8612
402	5801	8594
403	5813	8576
404	5825	8557
405	5837	8540
406	5848	8521
407	5858	8499
408	5869	8481
409	5881	8463
410	5891	8442
411	5904	8426
412	5916	8409
413	5927	8390
414	5937	8369
415	5948	8351
416	5959	8331
417	5969	8311
418	5985	8299
419	5999	8284
420	6010	8266
421	6023	8250
422	6036	8234
423	6049	8217
424	6059	8198
425	6069	8178
426	6081	8160
427	6093	8143
428	6103	8124
429	6115	8106
430	6128	8090
431	6138	8071
432	6150	8053
433	6161	8035
434	6171	8016
435	6182	7997
436	6194	7980
437	6204	7960
438	6215	7942
439	6225	7923
440	6235	7904
441	6247	7886
442	6258	7869
443	6268	7850
444	6280	7833
445	6293	7817
446	6307	7802
447	6320	7787
448	6334	7773
449	6348	7759
450	6359	7741
451	6370	7722
452	6380	7704
453	6391	7686
454	6402	7669
455	6413	7651
456	6424	7633
457	6435	7615
458	6446	7597
459	6456	7579
460	6467	7562
461	6484	7550
462	6510	7551
463	6529	7542
464	6547	7532
465	6562	7519
466	6581	7511
467	6605	7509
468	6623	7499
469	6639	7486
470	6656	7475
471	6671	7463
472	6682	7445
473	6695	7430
474	6708	7414
475	6719	7397
476	6729	7378
477	6743	7364
478	6756	7348
479	6768	7332
480	6779	7315
481	6794	7301
482	6806	7286
483	6819	7270
484	6829	7252
485	6842	7236
486	6853	7219
487	6867	7205
488	6881	7191
489	6894	7176
490	6911	7165
491	6925	7151
492	6939	7136
493	6956	7125
494	6972	7113
495	6986	7099
496	7001	7085
497	7018	7074
498	7036	7064
499	7047	7047
500	7056	7028
501	7068	7012
502	7079	6995
503	7090	6977
504	7102	6961
505	7113	6944
506	7122	6925
507	7133	6908
508	7143	6890
509	7154	6873
510	7165	6857
511	7175	6839
512	7187	6823
513	7198	6806
514	7207	6787
515	7219	6771
516	7230	6755
517	7240	6737
518	7252	6721
519	7263	6704
520	7272	6686
521	7284	6670
522	7294	6653
523	7304	6635
524	7315	6618
525	7325	6601
526	7335	6584
527	7346	6567
528	7355	6549
529	7369	6535
530	7380	6518
531	7390	6501
532	7402	6485
533	7414	6470
534	7425	6453
535	7435	6436
536	7446	6420
537	7455	6402
538	7467	6387
539	7479	6371
540	7491	6356
541	7503	6340
542	7520	6329
543	7534	6315
544	7553	6306
545	7567	6292
546	7580	6277
547	7591	6261
548	7601	6244
549	7613	6229
550	7625	6213
551	7636	6197
552	7649	6183
553	7661	6167
554	7671	6151
555	7681	6134
556	7693	6119
557	7705	6103
558	7715	6086
559	7728	6072
560	7739	6056
561	7750	6040
562	7760	6023
563	7773	6009
564	7784	5993
565	7796	5977
566	7806	5961
567	7816	5945
568	7828	5929
569	7838	5913
570	7849	5897
571	7861	5882
572	7871	5865
573	7881	5849
574	7892	5833
575	7903	5817
576	7914	5802
577	7926	5787
578	7939	5772
579	7953	5759
580	7965	5744
581	7980	5731
582	7995	5718
583	8007	5703
584	8018	5688
585	8028	5671
586	8040	5656
587	8053	5643
588	8065	5627
589	8080	5615
590	8090	5599
591	8102	5583
592	8112	5567
593	8124	5553
594	8135	5537
595	8145	5521
596	8158	5507
597	8168	5491
598	8179	5475
599	8190	5460
600	8200	5444
601	8210	5428
602	8221	5413
603	8231	5396
604	8242	5381
605	8253	5366
606	8262	5349
607	8274	5334
608	8287	5320
609	8297	5304
610	8308	5289
611	8319	5274
612	8330	5259
613	8340	5243
614	8353	5229
615	8363	5213
616	8374	5198
617	8385	5183
618	8396	5168
619	8406	5152
620	8416	5136
621	8429	5122
622	8439	5107
623	8449	5091
624	8460	5076
625	8472	5061
626	8486	5048
627	8501	5035
628	8515	5022
629	8528	5008
630	8540	4994
631	8555	4981
632	8567	4967
633	8579	4952
634	8596	4941
635	8606	4925
636	8621	4912
637	8636	4900
638	8651	4887
639	8666	4874
640	8681	4862
641	8697	4850
642	8713	4837
643	8725	4823
644	8736	4808
645	8748	4794
646	8760	4779
647	8772	4765
648	8785	4751
649	8797	4736
650	8808	4722
651	8819	4707
652	8832	4693
653	8843	4678
654	8854	4663
655	8865	4649
656	8876	4634
657	8886	4619
658	8898	4604
659	8910	4590
660	8922	4575
661	8934	4561
662	8952	4550
663	8965	4536
664	8979	4523
665	8998	4512
666	9019	4503
667	9036	4491
668	9053	4479
669	9073	4468
670	9084	4454
671	9098	4441
672	9112	4427
673	9128	4415
674	9141	4401
675	9151	4386
676	9164	4372
677	9176	4358
678	9189	4344
679	9200	4329
680	9212	4315
681	9224	4301
682	9238	4287
683	9249	4272
684	9262	4259
685	9275	4245
686	9287	4231
687	9297	4216
688	9310	4202
689	9321	4188
690	9332	4173
691	9347	4160
692	9359	4146
693	9371	4132
694	9382	4117
695	9394	4103
696	9405	4088
697	9416	4074
698	9428	4060
699	9441	4046
700	9453	4032
701	9463	4017
702	9476	4003
703	9490	3990
704	9504	3977
705	9519	3964
706	9529	3949
707	9542	3935
708	9554	3921
709	9569	3908
710	9580	3893
711	9592	3880
712	9604	3865
713	9616	3851
714	9626	3837
715	9646	3826
716	9657	3811
717	9671	3798
718	9688	3786
719	9702	3773
720	9716	3759
721	9736	3749
722	9755	3737
723	9771	3724
724	9790	3713
725	9805	3700
726	9820	3687
727	9833	3673
728	9843	3659
729	9855	3645
730	9866	3630
731	9876	3616
732	9889	3602
733	9901	3588
734	9912	3574
735	9924	3559
736	9936	3545
737	9947	3531
738	9958	3517
739	9970	3503
740	9982	3489
741	9992	3474
742	10003	3460
743	10015	3446
744	10025	3431
745	10037	3417
746	10048	3403
747	10058	3388
748	10069	3374
749	10082	3360
750	10093	3346
751	10103	3332
752	10114	3317
753	10125	3303
754	10135	3289
755	10148	3275
756	10159	3261
757	10172	3247
758	10184	3233
759	10195	3219
760	10204	3204
761	10216	3190
762	10227	3176
763	10237	3162
764	10249	3148
765	10260	3134
766	10270	3119
767	10283	3106
768	10295	3092
769	10307	3078
770	10316	3064
771	10329	3050
772	10343	3037
773	10358	3024
774	10372	3011
775	10383	2997
776	10394	2983
777	10406	2969
778	10416	2955
779	10427	2941
780	10438	2927
781	10448	2912
782	10459	2898
783	10472	2885
784	10482	2870
785	10492	2856
786	10503	2842
787	10513	2828
788	10524	2814
789	10534	2800
790	10546	2786
791	10558	2772
792	10567	2758
793	10579	2744
794	10591	2731
795	10600	2716
796	10612	2702
797	10623	2689
798	10632	2674
799	10646	2661
800	10662	2649
801	10679	2636
802	10708	2627
803	10724	2614
804	10739	2601
805	10753	2588
806	10764	2574
807	10776	2560
808	10787	2546
809	10798	2533
810	10810	2519
811	10822	2505
812	10832	2491
813	10845	2478
814	10857	2464
815	10868	2450
816	10879	2436
817	10892	2423
818	10905	2410
819	10917	2396
820	10927	2382
821	10943	2369
822	10956	2356
823	10971	2343
824	10984	2330
825	10995	2316
826	11008	2302
827	11020	2289
828	11033	2275
829	11045	2262
830	11057	2248
831	11070	2235
832	11083	2222
833	11097	2208
834	11109	2195
835	11121	2181
836	11132	2167
837	11144	2154
838	11156	2140
839	11168	2127
840	11180	2113
841	11192	2100
842	11204	2086
843	11217	2073
844	11233	2060
845	11243	2046
846	11256	2033
847	11268	2019
848	11279	2006
849	11289	1992
850	11302	1978
851	11315	1965
852	11325	1951
853	11337	1938
854	11349	1924
855	11360	1911
856	11370	1897
857	11382	1883
858	11392	1870
859	11402	1856
860	11413	1842
861	11423	1828
862	11435	1815
863	11446	1801
864	11456	1788
865	11470	1774
866	11484	1761
867	11494	1747
868	11504	1734
869	11515	1720
870	11525	1707
871	11537	1693
872	11550	1680
873	11564	1667
874	11577	1653
875	11593	1641
876	11609	1628
877	11623	1615
878	11634	1601
879	11660	1590
880	11675	1577
881	11686	1563
882	11701	1550
883	11718	1537
884	11734	1524
885	11754	1512
886	11765	1498
887	11779	1485
888	11790	1472
889	11802	1458
890	11813	1445
891	11828	1432
892	11841	1418
893	11851	1405
894	11864	1391
895	11876	1378
896	11889	1365
897	11898	1351
898	11910	1338
899	11922	1324
900	11936	1311
901	11947	1298
902	11962	1284
903	11979	1272
904	11991	1258
905	12002	1245
906	12014	1231
907	12026	1218
908	12039	1205
909	12053	1192
910	12064	1178
911	12077	1165
912	12089	1152
913	12102	1138
914	12115	1125
915	12126	1112
916	12138	1098
917	12149	1085
918	12159	1071
919	12170	1058
920	12181	1044
921	12191	1031
922	12203	1018
923	12213	1004
924	12225	991
925	12237	977
926	12246	964
927	12267	951
928	12278	938
929	12292	925
930	12304	911
931	12317	898
932	12327	885
933	12339	871
934	12351	858
935	12362	845
936	12373	831
937	12385	818
938	12397	805
939	12409	792
940	12421	778
941	12434	765
942	12448	752
943	12463	739
944	12477	726
945	12493	713
946	12509	700
947	12521	686
948	12534	673
949	12546	660
950	12558	647
951	12570	633
952	12582	620
953	12593	607
954	12605	593
955	12616	580
956	12624	567
957	12636	554
958	12650	540
959	12664	527
960	12674	514
961	12687	501
962	12703	488
963	12721	475
964	12737	461
965	12755	448
966	12772	435
967	12795	422
968	12805	409
969	12817	396
970	12828	383
971	12842	369
972	12855	356
973	12869	343
974	12883	330
975	12899	317
976	12912	303
977	12925	290
978	12936	277
979	12948	264
980	12958	250
981	12969	237
982	12983	224
983	12995	211
984	13007	198
985	13020	184
986	13031	171
987	13043	158
988	13054	145
989	13064	131
990	13076	118
991	13086	105
992	13098	92
993	13109	79
994	13121	65
995	13131	52
996	13141	39
997	13152	26
998	13163	13
999	13173	0
